               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11118,            0.052792,             0.10129,                   0,                   0,                   0,                   0,             0.10614,            0.082802,            0.099962,            0.070517,           0.0032759,           0.0032759
                   1,             0.11182,            0.057206,             0.10329,                   0,                   0,                   0,                   0,             0.10586,            0.083284,            0.099943,            0.040516,           0.0066079,           0.0066079
                   2,             0.10931,            0.062656,             0.10285,                   0,                   0,                   0,                   0,             0.12642,            0.071718,              0.1729,            0.010513,           0.0099386,           0.0099386
                   3,             0.10551,            0.061852,             0.09971,                   0,                   0,                   0,                   0,             0.14045,              1.1479,              2.1374,           0.0099941,           0.0099941,           0.0099941
                   4,             0.10563,            0.060937,             0.10133,                   0,                   0,                   0,                   0,             0.13888,              1.2169,              3.2614,           0.0099941,           0.0099941,           0.0099941
                   5,             0.10405,            0.059121,             0.10185,                   0,                   0,                   0,                   0,             0.13621,              1.5268,              3.1644,           0.0099921,           0.0099921,           0.0099921
                   6,             0.10316,            0.058377,             0.10152,          0.00028019,            0.023256,          0.00028567,          5.7135e-05,             0.12438,             0.12808,             0.44588,           0.0099901,           0.0099901,           0.0099901
                   7,             0.10361,            0.056126,             0.10232,                   0,                   0,                   0,                   0,             0.12976,             0.11047,             0.94297,           0.0099881,           0.0099881,           0.0099881
                   8,             0.10138,            0.065499,             0.10056,                   0,                   0,                   0,                   0,              0.1264,             0.10076,              0.8582,           0.0099861,           0.0099861,           0.0099861
                   9,             0.10135,            0.066584,             0.10078,                   0,                   0,                   0,                   0,             0.12108,             0.10048,             0.89962,           0.0099842,           0.0099842,           0.0099842
                  10,            0.096885,            0.068193,            0.098335,                   0,                   0,                   0,                   0,             0.12115,            0.075462,             0.71621,           0.0099822,           0.0099822,           0.0099822
                  11,            0.097805,            0.062905,            0.099402,            0.002907,            0.023256,           0.0057849,            0.001157,             0.12412,            0.057442,             0.43059,           0.0099802,           0.0099802,           0.0099802
                  12,            0.097301,            0.063782,            0.099535,          0.00096899,            0.023256,           0.0012855,          0.00038566,             0.11493,            0.073557,             0.23897,           0.0099782,           0.0099782,           0.0099782
                  13,            0.095164,            0.063027,            0.097836,          7.9317e-05,           0.0068399,          6.3415e-05,           2.012e-05,             0.10089,            0.085523,             0.11118,           0.0099762,           0.0099762,           0.0099762
                  14,             0.09371,            0.060418,            0.098174,           0.0013045,            0.034884,           0.0042121,           0.0011584,             0.10989,            0.072297,             0.14551,           0.0099743,           0.0099743,           0.0099743
                  15,             0.09318,            0.063424,            0.096343,          0.00019364,              0.0342,          0.00030379,          7.5729e-05,            0.093642,            0.092464,             0.10079,           0.0099723,           0.0099723,           0.0099723
                  16,            0.093313,            0.058995,            0.094937,             0.86201,            0.005472,           0.0016016,          0.00029351,            0.092571,            0.094291,             0.10001,           0.0099703,           0.0099703,           0.0099703
                  17,            0.090942,            0.058655,            0.093479,             0.48856,           0.0068399,          0.00037745,          8.5752e-05,            0.093675,            0.092256,             0.10748,           0.0099683,           0.0099683,           0.0099683
                  18,            0.091632,            0.069212,            0.093448,             0.46602,            0.031464,           0.0017822,          0.00046928,            0.090657,            0.091496,             0.10172,           0.0099663,           0.0099663,           0.0099663
                  19,            0.088815,            0.063283,             0.09329,             0.00058,            0.060739,          0.00045981,          9.0647e-05,            0.089514,            0.092846,             0.10465,           0.0099644,           0.0099644,           0.0099644
                  20,             0.08736,             0.06352,            0.090971,             0.75161,            0.010944,           0.0050532,          0.00079826,            0.082623,            0.094929,            0.093646,           0.0099624,           0.0099624,           0.0099624
                  21,             0.08661,            0.066212,            0.091657,             0.27925,            0.069767,            0.001822,          0.00044887,            0.080565,            0.096915,            0.094778,           0.0099604,           0.0099604,           0.0099604
                  22,            0.086977,            0.065053,            0.090843,              0.5367,            0.015048,           0.0029909,          0.00074686,            0.078506,            0.098989,            0.091904,           0.0099584,           0.0099584,           0.0099584
                  23,            0.084894,            0.071551,            0.093279,           0.0015947,            0.066803,           0.0038136,           0.0017711,            0.076302,            0.098773,            0.092328,           0.0099564,           0.0099564,           0.0099564
                  24,            0.084307,             0.06422,            0.091155,          9.5687e-05,            0.064295,           0.0014521,          0.00057119,            0.076907,             0.09751,            0.093784,           0.0099545,           0.0099545,           0.0099545
                  25,            0.084363,              0.0635,             0.09173,           0.0007611,            0.077545,           0.0013037,          0.00030876,            0.074385,            0.099104,            0.094947,           0.0099525,           0.0099525,           0.0099525
                  26,             0.08131,            0.068194,            0.090135,             0.86324,            0.010944,           0.0092953,           0.0036156,            0.071279,            0.097851,            0.091158,           0.0099505,           0.0099505,           0.0099505
                  27,            0.080297,            0.059101,            0.088387,           0.0016651,            0.099032,            0.008557,           0.0029963,             0.07227,            0.096724,            0.090955,           0.0099485,           0.0099485,           0.0099485
                  28,            0.084242,             0.06922,            0.089194,             0.81782,            0.010944,            0.013877,           0.0046995,            0.069591,            0.098586,            0.090439,           0.0099465,           0.0099465,           0.0099465
                  29,             0.08125,            0.062542,            0.087803,            0.009832,             0.16711,            0.023595,            0.010686,            0.070153,            0.097585,            0.089867,           0.0099446,           0.0099446,           0.0099446
                  30,             0.08008,            0.064378,            0.086989,           0.0093853,             0.16406,            0.030453,            0.014035,            0.071017,             0.10372,            0.090123,           0.0099426,           0.0099426,           0.0099426
                  31,            0.076879,            0.066186,            0.088647,           0.0060596,              0.2239,            0.042332,            0.017689,            0.066716,            0.095562,            0.088427,           0.0099406,           0.0099406,           0.0099406
                  32,            0.077935,            0.061318,            0.082813,           0.0070051,             0.15629,             0.02543,            0.010454,            0.074775,            0.094709,             0.09018,           0.0099386,           0.0099386,           0.0099386
